        n    z      alpha(keV)
6012  140   96          7067 5
6013  140   96          7067 5
6014  136   96        3.4E+3 4
6015  135   96        2.9E+3 3
6016  138   96          7365 9
6017  138   96          7365 9
6018  138   96          7365 9
6019  137   96       7.47E+3 5
6020  137   96       7.47E+3 5
6021  139   96      7.28E+3 10
6022  139   96      7.28E+3 10
6023  150   96        5475.1 9
6024  150   96        5475.1 9
6025  152   96        5161.8 3
6026  152   96        5161.8 3
6027  151   96          5354 3
6028  143   96      6.54E+3 15
6029  143   96      6.54E+3 15
6030  142   96         6670 10
6031  142   96         6670 10
6032  142   96         6670 10
6033  145   96        6185.2 6
6034  145   96        6185.2 6
6035  144   96        6397.8 6
6036  144   96        6397.8 6
6037  144   96        6397.8 6
6038  147   96       6168.8 10
6039  147   96       6168.8 10
6040  147   96       6168.8 10
6041  146   96       6215.63 8
6042  146   96       6215.63 8
6043  146   96       6215.63 8
6044  149   96        5624.5 5
6045  149   96        5624.5 5
6046  148   96       5901.60 3
6047  148   96       5901.60 3
6048  148   96       5901.60 3
6049  154   96         5170 18
6050  154   96         5170 18
6051  154   96         5170 18
6052  153   96         5148 13
6053  156   96            0 0
6054  155   96      5.01E+3 20
6055  141   97      7.33E+3 20
6056  141   97      7.33E+3 20
6057  142   97      7.20E+3 20
6058  142   97      7.20E+3 20
6059  142   97      7.20E+3 20
6060  143   97      7.20E+3 19
6061  143   97      7.20E+3 19
6062  144   97      6.99E+3 18
6063  144   97      6.99E+3 18
6064  145   97      6.91E+3 15
6065  146   97          6874 4
6066  146   97          6874 4
6067  147   97          6779 4
6068  147   97          6779 4
6069  148   97       6454.5 14
6070  148   97       6454.5 14
6071  149   97       6.07E+3 6
6072  150   97          5890 5
6073  151   97       5.83E+3 5
6074  151   97       5.83E+3 5
6075  151   97       5.83E+3 5
6076  136   97         9.E+2 3
6077  137   97       8.10E+3 5
6078  137   97       8.10E+3 5
6079  138   97        7.9E+3 5
6080  138   97        7.9E+3 5
6081  139   97        1.8E+3 4
6082  140   97      7.50E+3 20
6083  140   97      7.50E+3 20
6084  152   97       5521.0 14
6085  152   97       5521.0 14
6086  152   97       5521.0 14
6087  153   97         5533 18
6088  154   97      5.65E+3 10
6089  155   97      5.40E+3 20
6090  156   97      5.40E+3 20
6091  157   97            0 0
6092  148   98       6861.6 10
6093  148   98       6861.6 10
6094  148   98       6861.6 10
6095  148   98       6861.6 10
6096  149   98         6503 14
6097  149   98         6503 14
6098  146   98       7329.0 18
6099  147   98       7258.5 18
6100  147   98       7258.5 18
6101  144   98          7517 4
6102  144   98          7517 4
6103  144   98          7517 4
6104  145   98      7.42E+3 10
6105  145   98      7.42E+3 10
6106  142   98          7711 4
6107  142   98          7711 4
6108  143   98      7.66E+3 15
6109  143   98      7.66E+3 15
6110  140   98        8.1E+3 3
6111  140   98        8.1E+3 3
6112  141   98       7.76E+3 6
6113  141   98       7.76E+3 6
6114  150   98          6361 5
6115  150   98          6361 5
6116  139   98       8.22E+3 5
6117  139   98       8.22E+3 5
6118  157   98      5.74E+3 20
6119  158   98      5.56E+3 10
6120  158   98      5.56E+3 10
6121  158   98      5.56E+3 10
6122  155   98          6126 4
6123  155   98          6126 4
6124  156   98          5927 5
6125  156   98          5927 5
6126  153   98        6177.0 9
6127  153   98        6177.0 9
6128  154   98       6216.95 4
6129  154   98       6216.95 4
6130  151   98        6293.3 5
6131  151   98        6293.3 5
6132  152   98      6128.51 19
6133  152   98      6128.51 19
6134  147   99      7.64E+3 10
6135  147   99      7.64E+3 10
6136  148   99         7464 20
6137  148   99         7464 20
6138  149   99       7.16E+3 5
6139  149   99       7.16E+3 5
6140  143   99         8160 20
6141  143   99         8160 20
6142  144   99         8072 10
6143  144   99         8072 10
6144  144   99         8072 10
6145  145   99      7.94E+3 10
6146  145   99      7.94E+3 10
6147  146   99          7909 3
6148  146   99          7909 3
6149  140   99         9.E+2 4
6150  141   99       8.26E+3 6
6151  141   99       8.26E+3 6
6152  142   99         8259 17
6153  142   99         8259 17
6154  158   99      6.05E+3 20
6155  158   99      6.05E+3 20
6156  159   99        5.9E+3 5
6157  159   99        5.9E+3 5
6158  154   99       6739.24 5
6159  154   99       6739.24 5
6160  155   99        6617.2 5
6161  155   99        6617.2 5
6162  155   99        6617.2 5
6163  155   99        6617.2 5
6164  155   99        6617.2 5
6165  155   99        6617.2 5
6166  155   99        6617.2 5
6167  155   99        6617.2 5
6168  156   99       6436.3 13
6169  156   99       6436.3 13
6170  156   99       6436.3 13
6171  157   99      6.23E+3 22
6172  157   99      6.23E+3 22
6173  150   99       6.94E+3 3
6174  150   99       6.94E+3 3
6175  151   99      6.83E+3 12
6176  151   99      6.83E+3 12
6177  151   99      6.83E+3 12
6178  152   99       6597.1 10
6179  152   99       6597.1 10
6180  153   99        6738.6 5
6181  153   99        6738.6 5
6182  141  100        8.9E+3 3
6183  141  100        8.9E+3 3
6184  141  100        8.9E+3 3
6185  145  100      8.44E+3 10
6186  144  100      8.55E+3 20
6187  144  100      8.55E+3 20
6188  144  100      8.55E+3 20
6189  143  100       8.69E+3 5
6190  143  100       8.69E+3 5
6191  143  100       8.69E+3 5
6192  142  100        8.7E+3 5
6193  149  100          7709 6
6194  149  100          7709 6
6195  148  100          7995 8
6196  148  100          7995 8
6197  148  100          7995 8
6198  147  100         8258 10
6199  147  100         8258 10
6200  147  100         8258 10
6201  147  100         8258 10
6202  146  100          8379 5
6203  146  100          8379 5
6204  146  100          8379 5
6205  160  100        6.3E+3 3
6206  152  100       7153.7 10
6207  152  100       7153.7 10
6208  151  100       7424.5 10
6209  151  100       7424.5 10
6210  150  100          7557 8
6211  150  100          7557 8
6212  150  100          7557 8
6213  150  100          7557 8
6214  156  100       7025.3 19
6215  156  100       7025.3 19
6216  155  100        7240.6 5
6217  155  100        7240.6 5
6218  154  100       7307.3 10
6219  154  100       7307.3 10
6220  153  100       7197.9 10
6221  153  100       7197.9 10
6222  159  100      6.47E+3 20
6223  158  100      6.66E+3 20
6224  157  100        6863.7 9
6225  157  100        6863.7 9
6226  151  101      7.74E+3 11
6227  150  101          7963 4
6228  150  101          7963 4
6229  153  101      7.80E+3 14
6230  153  101      7.80E+3 14
6231  152  101          7573 8
6232  152  101          7573 8
6233  155  101      7.74E+3 11
6234  155  101      7.74E+3 11
6235  155  101      7.74E+3 11
6236  154  101       7905.6 17
6237  154  101       7905.6 17
6238  157  101       7271.3 19
6239  157  101       7271.3 19
6240  157  101       7271.3 19
6241  157  101       7271.3 19
6242  156  101        7557.1 9
6243  156  101        7557.1 9
6244  156  101        7557.1 9
6245  159  101        6.9E+3 3
6246  159  101        6.9E+3 3
6247  159  101        6.9E+3 3
6248  159  101        6.9E+3 3
6249  158  101      7.05E+3 10
6250  158  101      7.05E+3 10
6251  160  101        6.8E+3 3
6252  161  101      6.54E+3 20
6253  161  101      6.54E+3 20
6254  144  101      9.01E+3 12
6255  144  101      9.01E+3 12
6256  144  101      9.01E+3 12
6257  144  101      9.01E+3 12
6258  143  101        1.0E+3 4
6259  146  101         8764 10
6260  146  101         8764 10
6261  146  101         8764 10
6262  146  101         8764 10
6263  145  101       8.89E+3 4
6264  145  101       8.89E+3 4
6265  145  101       8.89E+3 4
6266  145  101       8.89E+3 4
6267  145  101       8.89E+3 4
6268  148  101         8441 18
6269  148  101         8441 18
6270  148  101         8441 18
6271  147  101       8.50E+3 3
6272  147  101       8.50E+3 3
6273  149  101       8.16E+3 3
6274  149  101       8.16E+3 3
6275  159  102      7.44E+3 20
6276  158  102      7.70E+3 20
6277  157  102          7854 5
6278  157  102          7854 5
6279  157  102          7854 5
6280  156  102      8.15E+3 10
6281  155  102          8477 6
6282  155  102          8477 6
6283  155  102          8477 6
6284  154  102          8582 5
6285  154  102          8582 5
6286  153  102          8428 3
6287  153  102          8428 3
6288  152  102          8226 8
6289  152  102          8226 8
6290  152  102          8226 8
6291  152  102          8226 8
6292  151  102          8415 4
6293  151  102          8415 4
6294  150  102          8549 5
6295  150  102          8549 5
6296  150  102          8549 5
6297  150  102          8549 5
6298  162  102        6.8E+3 4
6299  161  102        7.0E+3 4
6300  161  102        7.0E+3 4
6301  160  102        7.3E+3 3
6302  149  102          8752 4
6303  149  102          8752 4
6304  149  102          8752 4
6305  149  102          8752 4
6306  148  102      8.95E+3 20
6307  148  102      8.95E+3 20
6308  147  102        2.5E+3 3
6309  146  102      9.30E+3 10
6310  159  103      7.99E+3 20
6311  159  103      7.99E+3 20
6312  159  103      7.99E+3 20
6313  158  103      8.14E+3 20
6314  155  103         8904 19
6315  155  103         8904 19
6316  154  103       9.07E+3 3
6317  154  103       9.07E+3 3
6318  154  103       9.07E+3 3
6319  157  103      8.40E+3 14
6320  157  103      8.40E+3 14
6321  157  103      8.40E+3 14
6322  156  103       8.58E+3 7
6323  156  103       8.58E+3 7
6324  151  103          8822 8
6325  151  103          8822 8
6326  150  103         8918 20
6327  150  103         8918 20
6328  150  103         8918 20
6329  150  103         8918 20
6330  153  103      8.85E+3 12
6331  153  103      8.85E+3 12
6332  153  103      8.85E+3 12
6333  152  103          8556 7
6334  152  103          8556 7
6335  152  103          8556 7
6336  152  103          8556 7
6337  152  103          8556 7
6338  162  103      7.23E+3 20
6339  162  103      7.23E+3 20
6340  161  103        7.4E+3 3
6341  161  103        7.4E+3 3
6342  163  103        7.6E+3 3
6343  160  103      7.68E+3 20
6344  148  103        9.5E+3 3
6345  148  103        9.5E+3 3
6346  149  103         9164 17
6347  149  103         9164 17
6348  149  103         9164 17
6349  164  104        8.0E+3 3
6350  164  104        8.0E+3 3
6351  163  104        5.5E+3 8
6352  162  104      7.61E+3 20
6353  162  104      7.61E+3 20
6354  161  104        7.8E+3 3
6355  160  104        8.0E+3 3
6356  156  104      8.90E+3 20
6357  156  104      8.90E+3 20
6358  155  104       9.13E+3 7
6359  155  104       9.13E+3 7
6360  155  104       9.13E+3 7
6361  154  104         9196 13
6362  154  104         9196 13
6363  153  104          9083 8
6364  153  104          9083 8
6365  153  104          9083 8
6366  153  104          9083 8
6367  153  104          9083 8
6368  153  104          9083 8
6369  159  104      8.25E+3 15
6370  159  104      8.25E+3 15
6371  158  104      8.49E+3 20
6372  158  104      8.49E+3 20
6373  157  104       8.65E+3 7
6374  157  104       8.65E+3 7
6375  157  104       8.65E+3 7
6376  152  104         8926 15
6377  152  104         8926 15
6378  151  104          9055 4
6379  151  104          9055 4
6380  151  104          9055 4
6381  150  104      9.21E+3 20
6382  149  104        9.4E+3 3
6383  149  104        9.4E+3 3
6384  149  104        9.4E+3 3
6385  149  104        9.4E+3 3
6386  164  105        8.5E+3 3
6387  164  105        8.5E+3 3
6388  163  105        8.3E+3 3
6389  165  105      8.31E+3 20
6390  165  105      8.31E+3 20
6391  165  105      8.31E+3 20
6392  160  105      8.40E+3 10
6393  162  105        7.9E+3 3
6394  161  105      8.21E+3 20
6395  161  105      8.21E+3 20
6396  153  105         9437 10
6397  153  105         9437 10
6398  153  105         9437 10
6399  153  105         9437 10
6400  152  105         9206 20
6401  152  105         9206 20
6402  152  105         9206 20
6403  152  105         9206 20
6404  155  105       9.50E+3 4
6405  155  105       9.50E+3 4
6406  155  105       9.50E+3 4
6407  154  105       9.62E+3 5
6408  157  105      9.05E+3 10
6409  157  105      9.05E+3 10
6410  156  105      9.22E+3 10
6411  156  105      9.22E+3 10
6412  159  105      8.56E+3 20
6413  158  105      8.83E+3 15
6414  158  105      8.83E+3 15
6415  158  105      8.83E+3 15
6416  151  105       9.34E+3 3
6417  151  105       9.34E+3 3
6418  151  105       9.34E+3 3
6419  150  105      9.34E+3 20
6420  150  105      9.34E+3 20
6421  158  106      9.21E+3 20
6422  158  106      9.21E+3 20
6423  157  106       9.40E+3 6
6424  157  106       9.40E+3 6
6425  157  106       9.40E+3 6
6426  157  106       9.40E+3 6
