n	 z	 alphaE(keV)	 deltaAlphaE(keV)	 halflife(s)
23 19 -7648.83 14.0 44478.0
22 19 7808.62 3.0 -1.0
25 19 -10650.0 3.0 1327.8
24 19 -9200.1 18.0 80280.0
21 19 -6438.4 7.0 3.93838848e+16
21 19 -6438.4 7.0 3.93838848e+16
20 19 6381.34 20.0 -1.0
38 19 0.0 0.0 -1
37 19 -16800.0 9.0 -1
37 19 -16800.0 9.0 -1
37 19 -16800.0 9.0 -1
37 19 -16800.0 9.0 -1
39 19 0.0 0.0 -1
34 19 -15500.0 4.0 0.03
34 19 -15500.0 4.0 0.03
34 19 -15500.0 4.0 0.03
34 19 -15500.0 4.0 0.03
33 19 -15300.0 5.0 0.11
33 19 -15300.0 5.0 0.11
33 19 -15300.0 5.0 0.11
33 19 -15300.0 5.0 0.11
36 19 -16200.0 9.0 -1
36 19 -16200.0 9.0 -1
36 19 -16200.0 9.0 -1
36 19 -16200.0 9.0 -1
35 19 -15300.0 6.0 0.01
35 19 -15300.0 6.0 0.01
35 19 -15300.0 6.0 0.01
35 19 -15300.0 6.0 0.01
30 19 -13770.0 14.0 1.2630000000000001
30 19 -13770.0 14.0 1.2630000000000001
32 19 -15360.0 20.0 0.365
32 19 -15360.0 20.0 0.365
32 19 -15360.0 20.0 0.365
31 19 -14420.0 10.0 0.47200000000000003
31 19 -14420.0 10.0 0.47200000000000003
31 19 -14420.0 10.0 0.47200000000000003
19 19 -6785.59 20.0 458.16
19 19 -6785.59 20.0 458.16
19 19 -6785.59 20.0 458.16
16 19 -6563.0 3.0 0.178
16 19 -6563.0 3.0 0.178
15 19 -8320.0 20.0 -1
18 19 -6221.8 4.0 1.226
17 19 -6507.4 6.0 0.342
17 19 -6507.4 6.0 0.342
17 19 -6507.4 6.0 0.342
12 19 -4900.0 3.0 -1
14 19 -8900.0 3.0 -1
13 19 -8700.0 6.0 -1
39 20 23400.0 9.0 -1
38 20 -16500.0 9.0 -1
38 20 -16500.0 9.0 -1
38 20 -16500.0 9.0 -1
38 20 -16500.0 9.0 -1
37 20 -15800.0 8.0 -1
37 20 -15800.0 8.0 -1
37 20 -15800.0 8.0 -1
